nt 102600001
NFil 2 
irLigand 2.250000
brLigand 1.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 1.000000
POcclude_NumSites[i] 0 0.000000
POcclude_NumSites[i] 1 0.000000
POcclude_NumSites[i] 2 0.000000
POcclude_NumSites[i] 3 0.000000
POcclude_NumSites[i] 4 0.000000
POcclude_NumSites[i] 5 0.000000
POcclude_NumSites[i] 6 0.000000
POcclude_NumSites[i] 7 0.000000
POcclude_NumSites[i] 8 0.000000
POcclude_NumSites[i] 9 0.000000
POcclude_NumSites[i] 10 0.000000
POcclude_NumSites[i] 11 0.000000
POcclude_NumSites[i] 12 0.000000
POcclude_NumSites[i] 13 0.000000
POcclude_NumSites[i] 14 0.000000
POcclude_NumSites[i] 15 0.000000
POcclude_NumSites[i] 16 0.000000
POcclude_NumSites[i] 17 0.000000
POcclude_NumSites[i] 18 0.000000
POcclude_NumSites[i] 19 0.000000
POcclude_NumSites[i] 20 0.000000
POcclude_NumSites[i] 21 0.000000
POcclude_NumSites[i] 22 0.000000
POcclude_NumSites[i] 23 0.000000
POcclude_NumSites[i] 24 0.000000
POcclude_NumSites[i] 25 0.000000
POcclude_NumSites[i] 26 0.000000
POcclude_NumSites[i] 27 0.000000
POcclude_NumSites[i] 28 0.000000
POcclude_NumSites[i] 29 0.000000
POcclude_NumSites[i] 30 0.000000
POcclude_NumSites[i] 31 0.000000
POcclude_NumSites[i] 32 0.000000
POcclude_NumSites[i] 33 0.000000
POcclude_NumSites[i] 34 0.000000
POcclude_NumSites[i] 35 0.000000
POcclude_NumSites[i] 36 0.000000
POcclude_NumSites[i] 37 0.000000
POcclude_NumSites[i] 38 0.000001
POcclude_NumSites[i] 39 0.000004
POcclude_NumSites[i] 40 0.000014
POcclude_NumSites[i] 41 0.000042
POcclude_NumSites[i] 42 0.000121
POcclude_NumSites[i] 43 0.000329
POcclude_NumSites[i] 44 0.000840
POcclude_NumSites[i] 45 0.002020
POcclude_NumSites[i] 46 0.004565
POcclude_NumSites[i] 47 0.009695
POcclude_NumSites[i] 48 0.019122
POcclude_NumSites[i] 49 0.034896
POcclude_NumSites[i] 50 0.058223
POcclude_NumSites[i] 51 0.088878
POcclude_NumSites[i] 52 0.122056
POcclude_NumSites[i] 53 0.148668
POcclude_NumSites[i] 54 0.158178
POcclude_NumSites[i] 55 0.143459
POcclude_NumSites[i] 56 0.107608
POcclude_NumSites[i] 57 0.064003
POcclude_NumSites[i] 58 0.028043
POcclude_NumSites[i] 59 0.008095
POcclude_NumSites[i] 60 0.001140
PAvailable_NumSites[i] 0 0.001140
PAvailable_NumSites[i] 1 0.008095
PAvailable_NumSites[i] 2 0.028043
PAvailable_NumSites[i] 3 0.064003
PAvailable_NumSites[i] 4 0.107608
PAvailable_NumSites[i] 5 0.143459
PAvailable_NumSites[i] 6 0.158178
PAvailable_NumSites[i] 7 0.148668
PAvailable_NumSites[i] 8 0.122056
PAvailable_NumSites[i] 9 0.088878
PAvailable_NumSites[i] 10 0.058223
PAvailable_NumSites[i] 11 0.034896
PAvailable_NumSites[i] 12 0.019122
PAvailable_NumSites[i] 13 0.009695
PAvailable_NumSites[i] 14 0.004565
PAvailable_NumSites[i] 15 0.002020
PAvailable_NumSites[i] 16 0.000840
PAvailable_NumSites[i] 17 0.000329
PAvailable_NumSites[i] 18 0.000121
PAvailable_NumSites[i] 19 0.000042
PAvailable_NumSites[i] 20 0.000014
PAvailable_NumSites[i] 21 0.000004
PAvailable_NumSites[i] 22 0.000001
PAvailable_NumSites[i] 23 0.000000
PAvailable_NumSites[i] 24 0.000000
PAvailable_NumSites[i] 25 0.000000
PAvailable_NumSites[i] 26 0.000000
PAvailable_NumSites[i] 27 0.000000
PAvailable_NumSites[i] 28 0.000000
PAvailable_NumSites[i] 29 0.000000
PAvailable_NumSites[i] 30 0.000000
PAvailable_NumSites[i] 31 0.000000
PAvailable_NumSites[i] 32 0.000000
PAvailable_NumSites[i] 33 0.000000
PAvailable_NumSites[i] 34 0.000000
PAvailable_NumSites[i] 35 0.000000
PAvailable_NumSites[i] 36 0.000000
PAvailable_NumSites[i] 37 0.000000
PAvailable_NumSites[i] 38 0.000000
PAvailable_NumSites[i] 39 0.000000
PAvailable_NumSites[i] 40 0.000000
PAvailable_NumSites[i] 41 0.000000
PAvailable_NumSites[i] 42 0.000000
PAvailable_NumSites[i] 43 0.000000
PAvailable_NumSites[i] 44 0.000000
PAvailable_NumSites[i] 45 0.000000
PAvailable_NumSites[i] 46 0.000000
PAvailable_NumSites[i] 47 0.000000
PAvailable_NumSites[i] 48 0.000000
PAvailable_NumSites[i] 49 0.000000
PAvailable_NumSites[i] 50 0.000000
PAvailable_NumSites[i] 51 0.000000
PAvailable_NumSites[i] 52 0.000000
PAvailable_NumSites[i] 53 0.000000
PAvailable_NumSites[i] 54 0.000000
PAvailable_NumSites[i] 55 0.000000
PAvailable_NumSites[i] 56 0.000000
PAvailable_NumSites[i] 57 0.000000
PAvailable_NumSites[i] 58 0.000000
PAvailable_NumSites[i] 59 0.000000
PAvailable_NumSites[i] 60 0.000000
N[nf] 0 30
ksStatistic[nf] 0 0.000850
reeBar[nf] 0 5.055913
ree2Bar[nf] 0 29.976785
rMBar[nf] 0 0.001958
rM2Bar[nf] 0 9.913346
iSite[nf][iy] 0 0 0
POcclude[nf][iy] 0 0 9.071164e-01
1-POcclude[nf][iy] 0 0 9.288355e-02
PMembraneOcclude[nf][iy] 0 0 0.000000e+00
Prvec0[nf][iy] 0 0 0.000000e+00
rMiSiteBar[nf][iy] 0 0 0.002291
rM2iSiteBar[nf][iy] 0 0 0.249812
iSite[nf][iy] 0 1 1
POcclude[nf][iy] 0 1 9.090583e-01
1-POcclude[nf][iy] 0 1 9.094175e-02
PMembraneOcclude[nf][iy] 0 1 0.000000e+00
Prvec0[nf][iy] 0 1 1.715932e-01
rMiSiteBar[nf][iy] 0 1 0.003325
rM2iSiteBar[nf][iy] 0 1 0.595728
iSite[nf][iy] 0 2 2
POcclude[nf][iy] 0 2 9.108124e-01
1-POcclude[nf][iy] 0 2 8.918760e-02
PMembraneOcclude[nf][iy] 0 2 0.000000e+00
Prvec0[nf][iy] 0 2 4.334819e-02
rMiSiteBar[nf][iy] 0 2 0.004253
rM2iSiteBar[nf][iy] 0 2 0.923741
iSite[nf][iy] 0 3 3
POcclude[nf][iy] 0 3 9.101687e-01
1-POcclude[nf][iy] 0 3 8.983131e-02
PMembraneOcclude[nf][iy] 0 3 0.000000e+00
Prvec0[nf][iy] 0 3 4.466527e-02
rMiSiteBar[nf][iy] 0 3 0.003356
rM2iSiteBar[nf][iy] 0 3 1.257262
iSite[nf][iy] 0 4 4
POcclude[nf][iy] 0 4 9.099477e-01
1-POcclude[nf][iy] 0 4 9.005227e-02
PMembraneOcclude[nf][iy] 0 4 0.000000e+00
Prvec0[nf][iy] 0 4 3.042664e-02
rMiSiteBar[nf][iy] 0 4 0.005402
rM2iSiteBar[nf][iy] 0 4 1.593969
iSite[nf][iy] 0 5 5
POcclude[nf][iy] 0 5 9.099927e-01
1-POcclude[nf][iy] 0 5 9.000730e-02
PMembraneOcclude[nf][iy] 0 5 0.000000e+00
Prvec0[nf][iy] 0 5 2.464541e-02
rMiSiteBar[nf][iy] 0 5 0.004493
rM2iSiteBar[nf][iy] 0 5 1.930704
iSite[nf][iy] 0 6 6
POcclude[nf][iy] 0 6 9.085909e-01
1-POcclude[nf][iy] 0 6 9.140912e-02
PMembraneOcclude[nf][iy] 0 6 0.000000e+00
Prvec0[nf][iy] 0 6 2.043743e-02
rMiSiteBar[nf][iy] 0 6 0.005054
rM2iSiteBar[nf][iy] 0 6 2.265194
iSite[nf][iy] 0 7 7
POcclude[nf][iy] 0 7 9.100593e-01
1-POcclude[nf][iy] 0 7 8.994069e-02
PMembraneOcclude[nf][iy] 0 7 0.000000e+00
Prvec0[nf][iy] 0 7 1.701832e-02
